level,concurrency,dur_s,energy_J,avg_power_W,steady_power_W,steady_frac,out_tokens,J_per_out_token,J_per_out_token_dyn,J_per_total_token,J_per_request
c8,8,479.0,57559.4,120.2,128.6,0.973,88490,0.6505,0.596,0.3182,143.9
c16,16,256.2,33443.4,130.5,141.7,0.948,88490,0.3779,0.3488,0.1849,83.61
c32,32,163.2,22234.6,136.2,152.3,0.919,88490,0.2513,0.2327,0.1229,55.59
c48,48,124.2,17489.6,140.8,158.6,0.894,88490,0.1976,0.1835,0.0967,43.72
c64,64,104.6,15139.1,144.7,166.5,0.87,88490,0.1711,0.1592,0.0837,37.85
