level,concurrency,dur_s,energy_J,avg_power_W,steady_power_W,steady_frac,out_tokens,J_per_out_token,J_per_out_token_dyn,J_per_total_token,J_per_request
c8,8,457.4,59140.5,129.3,138.5,0.975,88490,0.6683,0.6143,0.3269,147.85
c16,16,249.4,34020.5,136.4,148.5,0.951,88490,0.3845,0.355,0.1881,85.05
c32,32,161.0,22914.5,142.3,156.9,0.919,88490,0.259,0.2399,0.1267,57.29
c48,48,123.5,17860.3,144.6,163.5,0.9,88490,0.2018,0.1872,0.0987,44.65
c64,64,105.1,15870.1,151.0,172.9,0.88,88490,0.1793,0.1669,0.0877,39.68
c128,128,83.9,13496.1,160.9,190.7,0.845,88490,0.1525,0.1426,0.0746,33.74
