ts,iso,energy_mj,power_mw,util_gpu,mem_used_mib,sm_clock_mhz,temp_c
1784781429.8354,12:37:09,2831138680330,64470,0,23257,2520,37
1784781430.0355,12:37:10,2831138684032,64470,0,23257,2520,37
1784781430.2355,12:37:10,2831138687692,64470,0,23257,2520,37
1784781430.4355,12:37:10,2831138692292,64470,0,23257,2520,37
1784781430.6355,12:37:10,2831138695959,56694,0,23257,405,36
1784781430.8355,12:37:10,2831138699135,56694,0,23257,405,36
1784781431.0355,12:37:11,2831138702203,56694,0,23257,405,36
1784781431.2355,12:37:11,2831138705252,56694,0,23257,405,36
1784781431.4355,12:37:11,2831138708409,56694,0,23257,405,36
1784781431.6355,12:37:11,2831138711464,38962,0,23257,255,36
1784781431.8355,12:37:11,2831138714523,38962,0,23257,255,36
1784781432.0355,12:37:12,2831138717595,38962,0,23257,255,36
1784781432.2355,12:37:12,2831138720634,38962,0,23257,255,36
1784781432.4355,12:37:12,2831138723668,38962,0,23257,255,36
1784781432.6355,12:37:12,2831138726668,27829,0,23257,210,35
1784781432.8355,12:37:12,2831138729662,27829,0,23257,210,35
1784781433.0355,12:37:13,2831138732626,27829,0,23257,210,35
1784781433.2355,12:37:13,2831138735575,27829,0,23257,210,35
1784781433.4355,12:37:13,2831138738569,27829,0,23257,210,35
1784781433.6355,12:37:13,2831138741571,26467,0,23257,210,35
1784781433.8355,12:37:13,2831138744547,26467,0,23257,210,35
1784781434.0355,12:37:14,2831138747488,26467,0,23257,210,35
1784781434.2355,12:37:14,2831138750487,26467,0,23257,210,35
1784781434.4355,12:37:14,2831138753485,26467,0,23257,210,35
1784781434.6355,12:37:14,2831138756500,26315,0,23257,210,35
1784781434.8355,12:37:14,2831138759489,26315,0,23257,210,35
1784781435.0355,12:37:15,2831138762504,26315,0,23257,210,35
1784781435.2355,12:37:15,2831138765493,26315,0,23257,210,35
1784781435.4355,12:37:15,2831138768476,26315,0,23257,210,35
1784781435.6355,12:37:15,2831138771472,26426,0,23257,210,35
1784781435.8355,12:37:15,2831138774448,26426,0,23257,210,35
1784781436.0355,12:37:16,2831138777390,26426,0,23257,210,35
1784781436.2355,12:37:16,2831138780350,26426,0,23257,210,35
1784781436.4355,12:37:16,2831138783284,26426,0,23257,210,35
1784781436.6355,12:37:16,2831138786253,26383,0,23257,210,34
1784781436.8355,12:37:16,2831138789208,26383,0,23257,210,34
1784781437.0355,12:37:17,2831138792200,26383,0,23257,210,34
1784781437.2355,12:37:17,2831138795196,26383,0,23257,210,34
1784781437.4355,12:37:17,2831138798165,26383,0,23257,210,34
1784781437.6355,12:37:17,2831138801131,26341,0,23257,210,34
1784781437.8355,12:37:17,2831138804069,26341,0,23257,210,34
1784781438.0355,12:37:18,2831138807042,26341,0,23257,210,34
1784781438.2355,12:37:18,2831138810002,26341,0,23257,210,34
1784781438.4355,12:37:18,2831138812952,26341,0,23257,210,34
1784781438.6355,12:37:18,2831138815905,26357,0,23257,210,34
1784781438.8355,12:37:18,2831138818860,26357,0,23257,210,34
1784781439.0355,12:37:19,2831138821838,26357,0,23257,210,34
1784781439.2355,12:37:19,2831138824827,26357,0,23257,210,34
1784781439.4355,12:37:19,2831138827809,26357,0,23257,210,34
1784781439.6355,12:37:19,2831138830842,26392,0,23257,210,34
1784781439.8355,12:37:19,2831138833834,26392,0,23257,210,34
1784781440.0355,12:37:20,2831138836815,26392,0,23257,210,34
1784781440.2355,12:37:20,2831138839731,26392,0,23257,210,34
1784781440.4355,12:37:20,2831138842716,26392,0,23257,210,34
1784781440.6355,12:37:20,2831138845671,26624,0,23257,210,33
1784781440.8355,12:37:20,2831138848621,26624,0,23257,210,33
1784781441.0355,12:37:21,2831138851572,26624,0,23257,210,33
1784781441.2355,12:37:21,2831138854532,26624,0,23257,210,33
1784781441.4355,12:37:21,2831138857481,26624,0,23257,210,33
1784781441.6355,12:37:21,2831138860472,26632,0,23257,210,33
1784781441.8355,12:37:21,2831138863447,26632,0,23257,210,33
1784781442.0355,12:37:22,2831138866421,26632,0,23257,210,33
1784781442.2355,12:37:22,2831138869387,26632,0,23257,210,33
1784781442.4355,12:37:22,2831138872330,26632,0,23257,210,33
1784781442.6355,12:37:22,2831138875236,26596,0,23257,210,33
1784781442.8355,12:37:22,2831138878144,26596,0,23257,210,33
1784781443.0355,12:37:23,2831138881055,26596,0,23257,210,33
1784781443.2355,12:37:23,2831138883964,26596,0,23257,210,33
