level,concurrency,dur_s,energy_J,avg_power_W,steady_power_W,steady_frac,out_tokens,J_per_out_token,J_per_out_token_dyn,J_per_total_token,J_per_request
c8,8,467.2,58325.4,124.8,133.9,0.973,88490,0.6591,0.5967,0.3224,145.81
c16,16,246.7,33237.0,134.7,146.9,0.948,88490,0.3756,0.3426,0.1837,83.09
c32,32,161.5,22214.4,137.6,151.7,0.92,88490,0.251,0.2295,0.1228,55.54
c48,48,123.6,17435.8,141.1,159.3,0.906,88490,0.197,0.1805,0.0964,43.59
c64,64,106.2,15455.5,145.5,165.4,0.876,88490,0.1747,0.1605,0.0854,38.64
c128,128,82.7,12621.5,152.6,182.7,0.847,88490,0.1426,0.1316,0.0698,31.55
